Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,HS_ID,Produkt_HS6,Produkt_HS4,Produkt_HS2,OEC ID,EU_Import_2022,CZ_Import_2022,Komplexita_vyrobku_2022,Svet_export_2022,Svet_export_2021,EU_export_2021,EU_export_2022,EU_svetovy_podil_2021,EU_svetovy_podil_2022,CZ_svetovy_podil_2021,CZ_svetovy_podil_2022,CZ_EU_podil_2021,CZ_EU_podil_2022,CZ_export_2021,CZ_export_2022,Pribuznost_CZ_2022,Vyhoda_CZ_2022,Koncentrace_trhu_2021,Koncentrace_trhu_2022,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST,Svet_2023_export,Svet_2024_export,Svet_2025_export,Svet_2026_export,Svet_2027_export,Svet_2028_export,Svet_2029_export,Svet_2030_export,CZ_2023_export,CZ_2024_export,CZ_2025_export,CZ_2026_export,CZ_2027_export,CZ_2028_export,CZ_2029_export,CZ_2030_export,CZ_Total_Export_25_30,EU_2023_export,EU_2024_export,Eu_2025_export,EU_2026_export,EU_2027_export,EU_2028_export,EU_2029_export,EU_2030_export,EU_Total_Export_25_30
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850161,"AC generators, of an output < 75 kVA",Electric Motors,Electrical machinery and electronics,16850161,291239574,15682012,-0.161284263,1117213067,1063368260,303520427,328761606,0.285433,0.294269,0.036369,0.048396,0.127417,0.164461,38673679,54068453,0.325330735,4.83872711,0.101966175,0.123412471,0.0580,Y,0.0580,1182011424.8860,1250568087.5294,1323101036.6061,1399840896.7293,1481031668.7395,1566931505.5264,1657813532.8470,1753966717.7521,50096519.9307,53002118.0867,56076240.9357,59328662.9100,62769725.3588,66410369.4296,70262170.8565,74337376.7662,389184546.2567,342607442.2369,362478673.8867,383502436.9721,405745578.3165,429278821.8588,454176993.5267,480519259.1512,508389376.1820,2661612466.0072
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,853720,"Electrical control and distribution boards, > 1kV",Electrical Control Boards,Electrical machinery and electronics,16853720,1687550474,61381665,-0.058545078,6436020217,6477004067,2841297382,2577900210,0.438675,0.400543,0.033041,0.036679,0.075319,0.091573,214004197,236064905,0.33932947,3.667222156,0.086649581,0.096828692,0.0580,Y,0.0580,6809309389.5860,7204249334.1820,7622095795.5645,8064177351.7073,8531899638.1063,9026749817.1165,9550301306.5092,10104218782.2868,237370219.3393,251137692.0609,265703678.2005,281114491.5361,297419132.0452,314669441.7038,332920269.3226,352229644.9433,1844056657.7515,2857244859.8039,3022965061.6725,3198297035.2495,3383798263.2940,3580058562.5651,3787701959.1938,4007388672.8271,4239817215.8510,22197061708.9805
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850162,"AC generators, of an output 75-375 kVA",Electric Motors,Electrical machinery and electronics,16850162,388142340,3118403,0.47656558,1288994552,1052723825,255395802,318151225,0.242605,0.246821,0.032267,0.035776,0.133003,0.144945,33968477,46114544,0.331973404,3.576926609,0.082207213,0.133345867,0.0580,Y,0.0580,1363756236.0160,1442854097.7049,1526539635.3718,1615078934.2234,1708753512.4083,1807861216.1280,1912717166.6634,2023654762.3299,46396908.7406,49087929.4475,51935029.3555,54947261.0581,58134202.1995,61505985.9270,65073333.1108,68847586.4312,360443398.0821,333728869.4221,353085143.8485,373564082.1918,395230798.9589,418154185.2985,442407128.0458,468066741.4725,495214612.4779,2592637548.4453
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850432,"Transformers electric, power capacity 1-16 KVA, nes",Electrical Transformers,Electrical machinery and electronics,16850432,243570658,4681567,0.104591898,945608039,785051420,198653435,205525637,0.253045,0.217348,0.031169,0.029184,0.123175,0.134275,24469226,27597035,0.339062458,2.917927261,0.079135202,0.128956277,0.0580,Y,0.0580,1000453305.2620,1058479596.9672,1119871413.5913,1184823955.5796,1253543745.0032,1326249282.2134,1403171740.5818,1484555701.5355,30190369.4737,31941410.9032,33794012.7355,35754065.4742,37827801.2717,40021813.7455,42343078.9427,44798977.5214,234539749.6910,235302978.0041,248950550.7283,263389682.6706,278666284.2655,294828928.7529,311929006.6205,330020889.0045,349162100.5668,1827996891.8808
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850163,"AC generators, of an output 375-750 kVA",Electric Motors,Electrical machinery and electronics,16850163,82446608,1734260,,366240645,380259292,102142146,120597088,0.268612,0.329284,0.041450,0.027561,0.154311,0.083699,15761688,10093860,0.32951145,2.755585745,0.179521512,0.12360355,0.0580,Y,0.0580,387482602.4100,409956593.3498,433734075.7641,458890652.1584,485506309.9836,513665675.9626,543458285.1684,574978865.7082,13370198.4817,14145669.9936,14966118.8532,15834153.7467,16752534.6640,17724181.6745,18752184.2117,19839810.8959,103868984.0461,115837065.8821,122555615.7033,129663841.4141,137184344.2161,145141036.1806,153559216.2791,162465650.8233,171888658.5710,899902747.4841
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850590,Electro-magnets nes and parts of magnetic devices,Electromagnets,Electrical machinery and electronics,16850590,1202901362,83538162,0.968507631,3395378735,3296797222,1258489541,1245495681,0.381731,0.366821,0.023680,0.022464,0.062033,0.061239,78067652,76273293,0.363317777,2.245988174,0.096962179,0.10487742,0.0580,Y,0.0580,3592310701.6300,3800664722.3245,4021103276.2194,4254327266.2401,4501078247.6820,4762140786.0476,5038344951.6383,5330568958.8334,82881254.9081,87688367.6927,92774293.0189,98155202.0140,103848203.7308,109871399.5472,116243940.7209,122986089.2827,643879128.3146,1344515306.6535,1422497194.4394,1505002031.7169,1592292149.5564,1684645094.2307,1782354509.6961,1885731071.2585,1995103473.3915,10445128329.8500
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,853710,"Electrical control and distribution boards, < 1kV",Electrical Control Boards,Electrical machinery and electronics,16853710,25439235537,1436416222,0.419050298,73252531986,68329523234,28798187922,28453192885,0.421460,0.388426,0.022606,0.021460,0.053637,0.055249,1544638172,1572014464,0.373419377,2.14564115,0.070650337,0.076055461,0.0580,Y,0.0580,77501178841.1880,81996247213.9769,86752029552.3876,91783647266.4261,97107098807.8788,102739310538.7360,108698190549.9820,115002685601.8810,1707580683.6004,1806620363.2493,1911404344.3177,2022265796.2881,2139557212.4729,2263651530.7963,2394943319.5825,2533850032.1182,13265672235.5757,31383577799.3433,33203825311.7052,35129647179.7841,37167166716.2116,39322862385.7518,41603588404.1254,44016596531.5647,46569559130.3955,243809420347.8330
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850300,Parts for electric motors and generators,Electric Motor Parts,Electrical machinery and electronics,16850300,10639980131,614446113,0.628233508,24550124054,23322150231,8046010806,8650951221,0.344994,0.352379,0.017961,0.020781,0.052061,0.058974,418880001,510183471,0.371986888,2.077762415,0.109705681,0.107267878,0.0580,Y,0.0580,25974031249.1320,27480525061.5817,29074395515.1534,30760710455.0323,32544831661.4242,34432431897.7868,36429512947.8584,38542424698.8342,503141754.5433,532323976.3068,563198766.9326,595864295.4147,630424424.5487,666989041.1726,705674405.5606,746603521.0831,3908754454.7123,9056800625.4112,9582095061.6851,10137856575.2628,10725852256.6281,11347951687.5125,12006132885.3882,12702488592.7407,13439232931.1197,70359514928.6520
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850431,"Transformers electric, power capacity < 1 KVA, nes",Electrical Transformers,Electrical machinery and electronics,16850431,1649094668,87547274,-0.183540494,5883552862,5598027825,1481575258,1455352396,0.264660,0.247359,0.020052,0.019700,0.075764,0.079640,112249641,115903841,0.354936407,1.969615083,0.218657228,0.226284864,0.0580,Y,0.0580,6224798927.9960,6585837265.8198,6967815827.2373,7371949145.2171,7799522195.6397,8251894482.9868,8730504363.0000,9236873616.0540,123721846.7800,130897713.8933,138489781.2991,146522188.6144,155020475.5540,164011663.1362,173524339.5981,183588751.2948,961157199.4965,1593609734.4957,1686039099.0965,1783829366.8440,1887291470.1210,1996754375.3880,2112566129.1605,2235094964.6518,2364730472.6016,12380266778.7670
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850440,"Static converters, nes",Electrical Transformers,Electrical machinery and electronics,16850440,34878640411,1816094587,1.069088422,95942037341,80992187375,23332801523,27911366521,0.288087,0.290919,0.012458,0.014939,0.043244,0.051350,1008996010,1433261243,0.368033661,1.493618257,0.127066444,0.181694925,0.0580,Y,0.0580,101506675506.7780,107394062686.1710,113622918321.9690,120213047584.6430,127185404344.5530,134562157796.5370,142366762948.7360,150624035199.7620,1390477358.9146,1471125045.7316,1556450298.3840,1646724415.6903,1742234431.8004,1843284028.8448,1950194502.5178,2063305783.6638,10802193460.9011,29386492985.7730,31090909578.9478,32894182334.5268,34802044909.9293,36820563514.7052,38956156198.5581,41215613258.0745,43606118827.0428,228294679042.8370
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850434,"Transformers electric, power capacity > 500 KVA, nes",Electrical Transformers,Electrical machinery and electronics,16850434,556978725,13711749,0.194729554,1759597469,1406421189,577160016,669050206,0.410375,0.380229,0.015211,0.012262,0.037065,0.032250,21392691,21576916,0.336510907,1.226024743,0.051676057,0.090701634,0.0580,Y,0.0580,1861654122.2020,1969630061.2897,2083868604.8445,2204732983.9255,2332607496.9932,2467898731.8188,2611036858.2643,2762476996.0436,25572746.3618,27055965.6508,28625211.6586,30285473.9348,32042031.4230,33900469.2455,35866696.4618,37946964.8566,198666847.5802,735915661.5994,778598769.9722,823757498.6306,871535433.5511,922084488.6971,975565389.0415,1032148181.6059,1092012776.1391,5717103767.6654
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850490,Parts of electrical transformers and inductors,Electrical Transformers,Electrical machinery and electronics,16850490,3776802962,142173748,0.591209369,13106527008,11859647534,3294990026,3495752358,0.277832,0.266718,0.011932,0.009968,0.042948,0.037372,141513316,130641830,0.336635608,0.996592974,0.121718901,0.137721067,0.0580,Y,0.0580,13866705574.4640,14670974497.7829,15521891018.6543,16422160697.7363,17374646018.2050,18382375487.2609,19448553265.5220,20576569354.9223,151840632.9453,160647389.6561,169964938.2561,179822904.6750,190252633.1462,201287285.8686,212961948.4490,225313741.4591,1179603451.8540,3775560521.7139,3994543031.9733,4226226527.8278,4471347666.4418,4730685831.0954,5005065609.2990,5295359414.6383,5602490260.6873,29331175309.9896
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850433,"Transformers electric, power capacity 16-500 KVA",Electrical Transformers,Electrical machinery and electronics,16850433,270232180,6861472,-0.362455494,1472618328,1130302491,279746782,319517002,0.247497,0.216972,0.008035,0.007078,0.032465,0.032622,9081956,10423125,0.313347092,0.707670248,0.066153241,0.119940729,0.0580,Y,0.0580,1558030191.0240,1648395942.1034,1744002906.7454,1845155075.3366,1952174069.7062,2065400165.7491,2185193375.3626,2311934591.1336,11773202.5213,12456048.2676,13178499.0671,13942852.0130,14751537.4297,15607126.6007,16512339.9435,17470055.6602,91462410.7143,361828604.3153,382814663.3656,405017913.8408,428508952.8436,453362472.1085,479657495.4908,507477630.2293,536911332.7826,2810935797.2957
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850230,"Electric generating sets, nes",Electric Generating Sets,Electrical machinery and electronics,16850230,2801183329,6214544,0.267983724,9618702372,11650735323,7079520565,4744175686,0.607646,0.493224,0.003248,0.004525,0.005345,0.009175,37841916,43527979,0.27964434,0.45245481,0.235532533,0.158526517,0.0580,Y,0.0580,10176587109.5760,10766829161.9314,11391305253.3234,12052000958.0162,12751017013.5811,13490576000.3688,14273029408.3902,15100865114.0769,39553221.4626,41847308.3074,44274452.1892,46842370.4162,49559227.9003,52433663.1186,55474815.5794,58692354.8831,307276884.0868,5601549223.8332,5926439078.8155,6270172545.3868,6633842553.0192,7018605421.0943,7425684535.5178,7856374238.5778,8312043944.4153,43516723238.0112
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850422,"Liquid dielectric transformers 650-10,000KVA",Electrical Transformers,Electrical machinery and electronics,16850422,964711030,16160312,-0.272412198,2666016521,2029926633,696817680,770607549,0.343272,0.289048,0.003531,0.004437,0.010286,0.015349,7167365,11828077,0.326729272,0.443582597,0.032213927,0.073044164,0.0580,Y,0.0580,2820645479.2180,2984242917.0126,3157329006.1994,3340454088.5589,3534200425.6954,3739184050.3857,3956056725.3081,4185508015.3759,11236689.7693,11888417.7759,12577946.0069,13307466.8753,14079299.9540,14895899.3514,15759861.5138,16673933.4816,87294407.1829,891776190.5883,943499209.6424,998222163.8017,1056119049.3022,1117373954.1617,1182181643.5031,1250748178.8262,1323291573.1982,6927936562.7930
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850423,"Liquid dielectric transformers > 10,000 KVA",Electrical Transformers,Electrical machinery and electronics,16850423,830795567,8146369,0.239701025,4541691277,4367885763,1746849423,1828338364,0.399930,0.402568,0.004740,0.003802,0.011853,0.009445,20705399,17267838,0.322761063,0.380139981,0.067778847,0.087641235,0.0580,Y,0.0580,4805109371.0660,5083805714.5878,5378666446.0339,5690629099.9039,6020685587.6983,6369885351.7848,6739338702.1883,7130220346.9153,20523686.8580,21714060.6957,22973476.2161,24305937.8366,25715682.2312,27207191.8006,28785208.9250,30454751.0426,159442248.0521,1928045168.3764,2039871788.1422,2158184351.8545,2283359044.2620,2415793868.8292,2555909913.2213,2704152688.1882,2860993544.1031,14978393410.4584
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850410,Ballasts for discharge lamps or tubes,Electrical Transformers,Electrical machinery and electronics,16850410,277620737,21161676,0.495992337,737159205,1153011066,458817958,322180494,0.397930,0.437057,0.005168,0.002108,0.012986,0.004823,5958247,1553907,0.323699827,0.210759385,0.314634323,0.108583917,0.0580,Y,0.0580,779914438.8900,825149476.3456,873008145.9737,923642618.4401,977213890.3097,1033892295.9476,1093858049.1126,1157301815.9611,2837141.8104,3001696.0354,3175794.4054,3359990.4810,3554869.9288,3761052.3847,3979193.4230,4209986.6416,22040887.2646,325609247.1179,344494583.4508,364475269.2909,385614834.9098,407980495.3345,431643364.0640,456678679.1797,483166042.5721,2529558685.3509
02. Green energy,02c. Grid,Distribution and transmission,LSE Navigator,IN,850421,Liquid dielectric transformers < 650 KVA,Electrical Transformers,Electrical machinery and electronics,16850421,661580502,21631283,-0.644100224,2222989216,1656459973,470180720,596255064,0.283847,0.268222,0.001489,0.001666,0.005246,0.006210,2466782,3702588,0.304731331,0.166529518,0.031669166,0.076102222,0.0580,Y,0.0580,2351922590.5280,2488334100.7786,2632657478.6238,2785351612.3840,2946902005.9022,3117822322.2446,3298656016.9348,3489978065.9170,3709897.6981,3925071.7646,4152725.9269,4393584.0307,4648411.9045,4918019.7950,5203264.9431,5505054.3098,28821060.9099,649211678.1598,686865955.4931,726704180.9117,768853023.4045,813446498.7620,860626395.6902,910542726.6402,963354204.7854,5043527030.1940
02. Green energy,02d. Electrification of use,Electric appliances,LSE Navigator,IN,850980,"Domestic appliances, with electric motor, nes",Other Domestic Electric Housewares,Electrical machinery and electronics,16850980,4092203036,134275276,0.516209864,10550674903,11579393014,3610134766,3247090994,0.311772,0.307761,0.007771,0.007915,0.024925,0.025717,89984390,83506703,0.308211528,0.791342132,0.440416598,0.369526253,,N,0.0400,10972701899.1200,11411609975.0848,11868074374.0882,12342797349.0517,12836509243.0138,13349969612.7343,13883968397.2437,14439327133.1335,86058357.9514,89500692.2695,93080719.9603,96803948.7587,100676106.7090,104703150.9774,108891277.0165,113246928.0971,617402131.5190,3398979937.4808,3534939134.9801,3676336700.3793,3823390168.3944,3976325775.1302,4135378806.1354,4300793958.3808,4472825716.7161,24385051125.1362
09. Environmental monitoring,09. Environmental monitoring,Environmental monitoring,LSE Navigator,IN,902710,Gas/smoke alysis apparatus,Chemical Alysis Instruments,"Optical, photo, & film equipment; medical instruments",18902710,2762404927,284229783,1.401742783,7512650971,7394620970,4085441576,3877159385,0.552488,0.516084,0.055105,0.071929,0.099740,0.139374,407483344,540373784,0.381942332,7.191578932,0.105383637,0.100071573,,N,0.0400,7813157009.8400,8125683290.2336,8450710621.8430,8788739046.7167,9140288608.5853,9505900152.9288,9886136159.0459,10281581605.4077,496267831.8970,516118545.1728,536763286.9798,558233818.4589,580563171.1973,603785698.0452,627937125.9670,653054611.0057,3560337711.6539,4174461800.9720,4341440273.0109,4515097883.9314,4695701799.2886,4883529871.2602,5078871066.1106,5282025908.7550,5493306945.1052,29948533474.4509
09. Environmental monitoring,09. Environmental monitoring,Environmental monitoring,LSE Navigator,IN,903120,Test benches for measuring or checking equipment,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",18903120,384465423,13198079,0.436755619,1533918143,1987171120,1456834215,1076716095,0.733120,0.701938,0.031758,0.035053,0.043320,0.049937,63109530,53767752,0.384893966,3.504635757,0.225874796,0.113386952,,N,0.0400,1595274868.7200,1659085863.4688,1725449298.0076,1794467269.9279,1866245960.7250,1940895799.1540,2018531631.1201,2099272896.3649,53290981.8320,55422621.1053,57639525.9495,59945106.9875,62342911.2669,64836627.7176,67430092.8263,70127296.5394,382321561.2872,1144656053.7376,1190442295.8871,1238059987.7226,1287582387.2315,1339085682.7208,1392649110.0296,1448355074.4308,1506289277.4080,8212021519.5431
09. Environmental monitoring,09. Environmental monitoring,Environmental monitoring,LSE Navigator,IN,903210,Thermostats,Thermostats,"Optical, photo, & film equipment; medical instruments",18903210,1857562667,70666235,0.560863407,4829412578,4751581732,1932756603,1910882081,0.406761,0.395676,0.036596,0.031179,0.089970,0.078800,173890606,150577112,0.358573472,3.117366379,0.080306283,0.085401445,,N,0.0400,5022589081.1200,5223492644.3648,5432432350.1394,5649729644.1450,5875718829.9108,6110747583.1072,6355177486.4315,6609384585.8888,170204342.7911,177012516.5028,184093017.1629,191456737.8494,199115007.3634,207079607.6579,215362791.9642,223977303.6428,1221084465.6407,2015154550.0449,2095760732.0466,2179591161.3285,2266774807.7817,2357445800.0929,2451743632.0966,2549813377.3805,2651805912.4757,14457174691.1559
09. Environmental monitoring,09. Environmental monitoring,Environmental monitoring,LSE Navigator,IN,903020,"Cathode-ray oscilloscopes, oscillographs",Oscilloscopes,"Optical, photo, & film equipment; medical instruments",18903020,208048781,4551570,0.979646559,1014089964,899011304,180473691,203329313,0.200747,0.200504,0.039701,0.020992,0.197767,0.104695,35691724,21287580,0.332992949,2.098809402,0.120543815,0.154554177,,N,0.0400,1054653562.5600,1096839705.0624,1140713293.2649,1186341824.9955,1233795497.9953,1283147317.9151,1334473210.6317,1387852139.0570,32004986.8514,33285186.3254,34616593.7784,36001257.5296,37441307.8308,38938960.1440,40496518.5498,42116379.2917,229611017.1243,211590435.1387,220054052.5442,228856214.6460,238010463.2318,247530881.7611,257432117.0316,267729401.7128,278438577.7813,1517997656.1647
